Id,Empresa,Cod. Mer,Mercado,Fecha,Gm,i,j,Tm,Dt 1a2 Aer,Dt 1a2 Sub,Dt 1a3 Aer,Dt 1a2 Sub,Dt 2,Dt 3,Dt 4,Cvm,i,j,PR 1,PR 2,PR 3,PR 4,Rm,i,CUv 1a2 Aer,CUv 1a2 Sub,CUv 1a3 Aer,CUv 1a2 Sub,CUv 2,CUv 3,CUv 4,CUfm
595,EMPRESA DE ENERGIA DE CUNDINAMARCA S.A. ESP,174,CUNDINAMARCA,01-2010,121.5918,20.78767,197.1719,192.89282,101.26148,96.98239,150.19251,57.49701,15.59799,93.97763,24.23965,10.54853,7.26943,4.90093,9.96778,467.73644,463.45735,371.82601,367.54693,407.06593,311.09132,266.8238,0
595,EMPRESA DE ENERGIA DE CUNDINAMARCA S.A. ESP,176,BOGOTA,01-2010,119.9683,20.78767,96.60222,104.03955,81.19709,88.63442,66.65228,50.8688,15.59799,1.16089,23.95875,10.42445,7.1829,4.84152,9.96778,272.44561,279.88295,257.04048,264.47781,228.96137,209.93634,172.32415,0
523,EMPRESA DE ENERGIA DEL  QUINDIO S.A.E.S.P.,164,QUINDIO,01-2010,112.31384,20.78767,160.71803,160.36863,87.99847,87.64907,119.73933,49.2993,15.59799,47.85774,22.6367,9.84141,6.77682,4.56325,7.99974,372.31373,371.96433,299.59416,299.24476,318.53974,245.03512,209.12024,0
2371,EMPRESA DE ENERGIA DEL BAJO PUTUMAYO  S.A.  E.S.P.,601,BAJO PUTUMAYO,01-2010,115.18194,20.78767,135.88081,142.12316,82.50375,88.7461,102.88092,50.87112,15.59799,92.98462,23.13432,10.06178,6.9308,4.66929,11.70371,399.67307,405.91542,346.29601,352.53836,353.60063,298.45986,260.92521,0
1846,EMPRESA DE ENERGIA DEL VALLE DE SIBUNDOY S.A. E.S.P. ,481,SIBUNDOY,01-2010,115.2643,20.78767,216.70065,210.3533,111.51418,105.16682,166.4861,64.75015,15.59799,91.76812,23.14887,10.06832,6.93543,4.67253,11.49117,479.16077,472.81341,373.97429,367.62694,415.86567,310.99683,259.58177,0
3076,EMPRESA DE ENERGIA ELECTRICA DEL DEPARTAMENTO DEL GUAVIARE SA ESP,681,GUAVIARE,01-2010,149.20932,20.78767,112.66485,122.75019,139.29899,149.38433,84.63903,108.01437,15.59799,102.49632,28.96375,12.61338,8.69741,5.86892,0.02894,414.15084,424.23618,440.78498,450.87032,369.77465,389.23403,293.98915,0
2073,EMPRESA DE ENERGÍA DE PEREIRA S.A. ESP.,162,CALDAS,01-2010,117.89487,20.78767,163.27391,159.78141,83.83504,80.34254,118.93393,42.34927,15.59799,1.40773,23.60607,10.27111,7.0773,4.7704,9.84178,336.81204,333.31955,257.37317,253.88068,279.1371,199.35863,170.30045,0
2073,EMPRESA DE ENERGÍA DE PEREIRA S.A. ESP.,163,PEREIRA,01-2010,117.67929,20.78767,99.42169,101.9815,63.99943,66.55923,64.4819,30.03536,15.59799,15.94655,23.56877,10.25463,7.06581,4.76251,9.84178,287.24576,289.80557,251.8235,254.3833,238.99183,201.35647,184.6158,0
536,EMPRESA DE ENERGÍA DEL PACÍFICO S.A. E.S.P.,165,CALI,01-2010,118.38231,20.78767,77.54903,85.91382,58.06183,66.42662,49.44872,30.27328,15.59799,3.90368,23.68866,10.30689,7.10187,4.78687,9.52585,253.8372,262.20199,234.35,242.71479,212.35512,189.97465,172.98437,0
536,EMPRESA DE ENERGÍA DEL PACÍFICO S.A. E.S.P.,172,CAUCA,01-2010,118.40325,20.78767,195.71548,187.87277,98.96921,91.1265,145.10292,51.83084,15.59799,1.52821,23.69229,10.30849,7.10298,4.78764,9.43275,369.55964,361.71693,272.81337,264.97066,305.56329,209.0857,170.5375,0
536,EMPRESA DE ENERGÍA DEL PACÍFICO S.A. E.S.P.,561,EPSAU,01-2010,117.25351,20.78767,160.23678,153.18189,98.30112,91.24622,112.42037,52.01011,15.59799,52.40754,23.49336,10.22062,7.0417,4.74557,9.43275,383.6116,376.55671,321.67594,314.62105,322.52245,258.93329,220.22502,0
694,EMPRESA MUNICIPAL DE ENERGÍA ELÉCTRICA S.A-E.S.P,301,POPAYAN,01-2010,91.8116,20.78767,210.04416,205.79443,84.41402,80.1643,162.40555,42.1319,15.59799,73.91833,14.26293,4.13179,1.69914,-0.05949,2.98909,413.81377,409.56404,288.18363,283.9339,356.04402,233.33772,205.04518,0
2438,EMPRESAS MUNICIPALES DE CALI   E.I.C.E  E.S.P,165,CALI,01-2010,152.28453,20.78767,77.54903,85.91382,58.06183,66.42662,49.44872,30.27328,15.59799,28.06456,29.54956,12.89379,8.9048,6.02358,14.39976,322.63511,330.9999,303.14791,311.5127,277.87903,254.71459,237.15809,0
617,EMPRESAS MUNICIPALES DE CARTAGO E.S.P.,168,CARTAGO,01-2010,149.20932,20.78767,95.51529,101.74208,75.51427,81.74106,64.41036,44.34941,15.59799,15.87503,28.91699,12.57387,8.65956,5.83224,16.05357,326.35786,332.58465,306.35684,312.58363,278.90981,254.93455,223.35581,0
564,EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,704,ANTIOQUIA UNIFICADO CREG078,01-2010,117.00648,20.78767,107.95541,120.56222,67.01778,79.62459,80.9513,40.99154,15.59799,38.53582,20.46749,7.65738,4.58483,2.36443,9.13431,313.88718,326.49398,272.94954,285.55635,274.07295,231.04065,203.4267,0
2159,ENERGIA CONFIABLE S.A. E.S.P.,441,COSTA ATLANTICA,01-2010,154.5737,20.78767,126.62234,122.2242,109.38997,104.99182,83.01455,64.86733,17.69683,12.05405,30.34112,13.40221,9.3462,6.41677,9.35396,353.73283,349.33469,336.50046,332.10231,293.18614,270.98291,220.88297,0
2159,ENERGIA CONFIABLE S.A. E.S.P.,442,COSTA CARIBE,01-2010,153.38351,20.78767,92.77771,96.69647,80.11597,84.03473,59.20431,46.18436,17.69683,10.73801,26.02558,13.31125,9.28277,6.37322,9.35396,313.06643,316.9852,300.40469,304.32345,266.77871,249.73028,218.33319,0
3365,ENERGIA SOCIAL DE LA COSTA S.A. ESP,441,COSTA ATLANTICA,01-2010,149.20932,20.78767,111.69613,110.15121,100.66163,99.11671,71.63757,59.49404,17.69683,88.73945,25.01965,12.6567,8.73892,5.90914,9.86698,405.31919,403.77427,394.28469,392.73977,352.89768,336.83637,292.20938,0
3365,ENERGIA SOCIAL DE LA COSTA S.A. ESP,442,COSTA CARIBE,01-2010,149.20932,20.78767,90.70053,94.61929,78.29638,82.21514,57.23872,44.50195,17.69683,77.81546,25.01965,12.6567,8.73892,5.90914,9.86698,373.39961,377.31837,360.99546,364.91422,327.57485,310.9203,281.2854,0
