Departamento,Municipio,Empresa,Variable Calculada,Estrato 1,Estrato 2,Estrato 3,Estrato 4,Estrato 5,Estrato 6,Total Residencial,Industrial,Comercial,Oficial,Otros,Total No Residencial
ANTIOQUIA,ABEJORRAL,EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,consumo promedio Empresa Departamento y Municipio,725.38,806.58,894.22,293.33,ND,ND,794.79,4185.38,1687,5453.98,34502.5,2693.27
ANTIOQUIA,ABEJORRAL,ENERTOTAL S.A. E.S.P.,consumo promedio Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,ND,53186,ND,ND,53186
ANTIOQUIA,ABRIAQUI,EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,consumo promedio Empresa Departamento y Municipio,523.22,598.11,589.48,ND,ND,ND,588.89,3959.33,2325.03,1848,ND,2279.06
ANTIOQUIA,ALEJANDRIA,EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,consumo promedio Empresa Departamento y Municipio,563.36,680.38,947.39,75,ND,ND,708.13,5385.75,2126.15,2791.4,7996,2300.17
ANTIOQUIA,AMAGA,ELECTRIFICADORA DEL HUILA S.A. E.S.P.,consumo promedio Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
ANTIOQUIA,AMAGA,EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,consumo promedio Empresa Departamento y Municipio,884.87,918.11,1043.46,528.16,ND,ND,923.39,2308.58,3077.8,7367.61,84029.25,4737.77
ANTIOQUIA,AMAGA,VATIA S.A. E.S.P.,consumo promedio Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,435125,ND,ND,ND,435125
ANTIOQUIA,AMALFI,EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,consumo promedio Empresa Departamento y Municipio,717.08,791.89,879.26,801.73,1289,ND,807.38,11615.5,2363.18,7644.1,13179.5,3324.8
ANTIOQUIA,ANDES,EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,consumo promedio Empresa Departamento y Municipio,831.73,881.67,1008.13,918.75,ND,ND,889.04,12410.64,4237.42,11740.84,4666.27,4781.82
ANTIOQUIA,ANDES,ENERTOTAL S.A. E.S.P.,consumo promedio Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
ANTIOQUIA,ANGELOPOLIS,EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,consumo promedio Empresa Departamento y Municipio,1211.04,900.82,852.13,1207.5,ND,ND,901.35,15314.33,1829.7,2724.32,2130,2315.01
ANTIOQUIA,ANGOSTURA,EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,consumo promedio Empresa Departamento y Municipio,848.57,802.81,1082.8,128,ND,ND,886.9,29,1647.47,3909.44,59273,2582.54
ANTIOQUIA,ANORI,EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,consumo promedio Empresa Departamento y Municipio,675.18,708.23,747.81,330,ND,ND,710.62,4944.2,2463.27,5551.06,15872.5,2912.96
