Departamento,Municipio,Empresa,Variable Calculada,Estrato 1,Estrato 2,Estrato 3,Estrato 4,Estrato 5,Estrato 6,Total Residencial,Industrial,Comercial,Oficial,Otros,Total No Residencial
ANTIOQUIA,ABEJORRAL,EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,Consumos Empresa Departamento y Municipio,1577077,3160118,369136,37229,4444,ND,5148004,258590,790090,298764,279941,1627385
ANTIOQUIA,ABEJORRAL,ENERTOTAL S.A. E.S.P.,Consumos Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,ND,53186,ND,ND,53186
ANTIOQUIA,ABRIAQUI,EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,Consumos Empresa Departamento y Municipio,91509,292769,58789,ND,ND,1360,444427,60694,153966,34019,65390,314069
ANTIOQUIA,ALEJANDRIA,EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,Consumos Empresa Departamento y Municipio,200429,716140,206711,6495,ND,389,1130164,33193,312057,61845,88307,495402
ANTIOQUIA,AMAGA,ELECTRIFICADORA DEL HUILA S.A. E.S.P.,Consumos Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,732716,ND,ND,ND,732716
ANTIOQUIA,AMAGA,EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,Consumos Empresa Departamento y Municipio,3131633,5038364,908926,302307,293204,134071,9808505,21725814,2454609,294379,1259061,25733863
ANTIOQUIA,AMAGA,VATIA S.A. E.S.P.,Consumos Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,836593,ND,ND,ND,836593
ANTIOQUIA,AMALFI,EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,Consumos Empresa Departamento y Municipio,1688930,2047653,1732705,20742,32617,25746,5548393,893527,1133229,455880,385573,2868209
ANTIOQUIA,ANDES,EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,Consumos Empresa Departamento y Municipio,2071766,7515574,1756882,141242,7531,ND,11492995,1331328,4521361,767218,597404,7217311
ANTIOQUIA,ANDES,ENERTOTAL S.A. E.S.P.,Consumos Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,150441,150441
ANTIOQUIA,ANGELOPOLIS,EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,Consumos Empresa Departamento y Municipio,628626,886817,199032,15076,416,ND,1729967,2394490,294014,72506,127399,2888409
ANTIOQUIA,ANGOSTURA,EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,Consumos Empresa Departamento y Municipio,1482817,1371881,380186,10720,ND,ND,3245604,232221,397273,160024,122366,911884
