Departamento,Municipio,Empresa,Variable Calculada,Estrato 1,Estrato 2,Estrato 3,Estrato 4,Estrato 5,Estrato 6,Total Residencial,Industrial,Comercial,Oficial,Otros,Total No Residencial
ANTIOQUIA,ABEJORRAL,EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,Valor Consumo Empresa Departamento y Municipio,252438139.7,851086295.07,111836159.67,426075.44,ND,ND,1215786669.88,42031513.84,329219063.13,114061204.77,111773635.65,597085417.39
ANTIOQUIA,ABEJORRAL,ENERTOTAL S.A. E.S.P.,Valor Consumo Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,ND,30583002,ND,ND,30583002
ANTIOQUIA,ABRIAQUI,EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,Valor Consumo Empresa Departamento y Municipio,9455228.82,75934334.45,16135842.98,ND,ND,ND,101525406.25,5536114.64,34034786.32,13535345.71,ND,53106246.67
ANTIOQUIA,ALEJANDRIA,EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,Valor Consumo Empresa Departamento y Municipio,23678250.98,252220188.68,68497898.86,110102.61,ND,ND,344506441.13,10500613.03,149985979.14,20464049.77,3918154.77,184868796.71
ANTIOQUIA,AMAGA,ELECTRIFICADORA DEL HUILA S.A. E.S.P.,Valor Consumo Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
ANTIOQUIA,AMAGA,EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,Valor Consumo Empresa Departamento y Municipio,229133756.98,1700837633.52,203171416.74,4763535.1,ND,ND,2137906342.34,12936263.16,894823573.29,101346629.25,406839971.16,1415946436.86
ANTIOQUIA,AMAGA,VATIA S.A. E.S.P.,Valor Consumo Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,170979709,ND,ND,ND,170979709
ANTIOQUIA,AMALFI,EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,Valor Consumo Empresa Departamento y Municipio,377204104.44,697174445.93,745476821.13,4303403.5,627428.21,ND,1824786203.21,134826688.12,538447139.55,182334505.02,26161549.69,881769882.38
ANTIOQUIA,ANDES,EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,Valor Consumo Empresa Departamento y Municipio,692439456.23,1610836669.28,509647699.44,22655627.35,ND,ND,2835579452.3,195963195.21,1863584469.31,216615774.53,33654393.89,2309817832.94
ANTIOQUIA,ANDES,ENERTOTAL S.A. E.S.P.,Valor Consumo Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
ANTIOQUIA,ANGELOPOLIS,EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,Valor Consumo Empresa Departamento y Municipio,13678081.97,191313330.51,68973044.2,2394652.97,ND,ND,276359109.65,20938832.91,86189276.87,25402192.31,1047836.39,133578138.48
ANTIOQUIA,ANGOSTURA,EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,Valor Consumo Empresa Departamento y Municipio,63405637.04,190154623.55,127905205.9,62387.69,ND,ND,381527854.18,14183.67,123911332.71,47010533.93,47072424.5,218008474.81
ANTIOQUIA,ANORI,EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,Valor Consumo Empresa Departamento y Municipio,159736888.83,496741015.35,209725467.15,322331.76,ND,ND,866525703.09,22909212.07,360904414.97,93124202.23,15775881.53,492713710.8
ANTIOQUIA,ANZA,EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,Valor Consumo Empresa Departamento y Municipio,55188428.79,147800712.12,101954910.13,388337.23,ND,ND,305332388.27,4826541.47,125427725.04,42992780.92,24157003.44,197404050.87
ANTIOQUIA,APARTADO,DISTRIBUIDORA Y COMERCIALIZADORA DE ENERGIA ELECTRICA S.A. E.S.P.,Valor Consumo Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,ND,15474801,ND,ND,15474801
ANTIOQUIA,APARTADO,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,Valor Consumo Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,ND,414547331.99,ND,ND,414547331.99
ANTIOQUIA,APARTADO,EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,Valor Consumo Empresa Departamento y Municipio,9267670258.14,7665368884.77,5546332993.61,1574939273.58,ND,ND,24054311410.1,2695005189.37,12052851543.63,1740388741,515357870.55,17003603344.55
ANTIOQUIA,APARTADO,ENERTOTAL S.A. E.S.P.,Valor Consumo Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,8219220,425928600,324559933,237989724,996697477
ANTIOQUIA,APARTADO,PROFESIONALES EN ENERGÍA S.A E.S.P,Valor Consumo Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,ND,60248015,ND,ND,60248015
ANTIOQUIA,APARTADO,VATIA S.A. E.S.P.,Valor Consumo Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,ND,38829308,ND,136873111,175702419
ANTIOQUIA,ARBOLETES,EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,Valor Consumo Empresa Departamento y Municipio,881535865.88,1080413255.17,259479900.24,14729863.03,ND,ND,2236158884.32,61068848.12,727634252.16,208004460.96,20173256.1,1016880817.34
ANTIOQUIA,ARBOLETES,ENERTOTAL S.A. E.S.P.,Valor Consumo Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,ND,36493238,ND,ND,36493238
ANTIOQUIA,ARGELIA,EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,Valor Consumo Empresa Departamento y Municipio,191205247.77,210776726.62,9132020.89,0,ND,ND,411113995.28,21020311.48,101421225.9,20617061.56,5928792.08,148987391.02
ANTIOQUIA,ARMENIA,EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,Valor Consumo Empresa Departamento y Municipio,21957657.01,110342760.23,70631308.22,929562.39,ND,ND,203861287.85,13421430.84,61182624.54,17900542.05,ND,92504597.43
ANTIOQUIA,BARBOSA,EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,Valor Consumo Empresa Departamento y Municipio,399525751.67,2730915273.67,726335926.79,11066723.38,ND,5277312.66,3873120988.17,658902376.16,1595011611.91,424205850.32,624724107.9,3302843946.29
ANTIOQUIA,BARBOSA,ISAGEN S.A. E.S.P.,Valor Consumo Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,25355657852,ND,ND,ND,25355657852
ANTIOQUIA,BELLO,DISTRIBUIDORA Y COMERCIALIZADORA DE ENERGIA ELECTRICA S.A. E.S.P.,Valor Consumo Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,13050632,166255134,ND,ND,179305766
ANTIOQUIA,BELLO,EMGESA S.A. E.S.P.,Valor Consumo Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,ND,549396539,ND,ND,549396539
ANTIOQUIA,BELLO,EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,Valor Consumo Empresa Departamento y Municipio,16965145009.75,28083510109.17,33431136929.91,6882108131.54,18096489.69,4121704.51,85384118374.57,18166906698.07,30418086114.19,2514449910.58,7056998304.71,58156441027.55
ANTIOQUIA,BELLO,ENERTOTAL S.A. E.S.P.,Valor Consumo Empresa Departamento y Municipio,ND,ND,67236500.95,ND,ND,ND,67236500.95,116607751,707457428,ND,83561029,907626208
ANTIOQUIA,BELLO,ISAGEN S.A. E.S.P.,Valor Consumo Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,504774474,ND,ND,ND,504774474
ANTIOQUIA,BELLO,PROFESIONALES EN ENERGÍA S.A E.S.P,Valor Consumo Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,ND,71438773,ND,ND,71438773
ANTIOQUIA,BELLO,TERPEL ENERGIA S.A.S E.S.P,Valor Consumo Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,ND,32438679,ND,ND,32438679
ANTIOQUIA,BELLO,VATIA S.A. E.S.P.,Valor Consumo Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,546135550,2324699511,ND,ND,2870835061
ANTIOQUIA,BELMIRA,EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,Valor Consumo Empresa Departamento y Municipio,73498669.95,240447793.06,26214349.97,83206.54,ND,ND,340244019.52,38154702.44,118678444.32,35953725.06,3786782.65,196573654.47
ANTIOQUIA,BETANIA,EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,Valor Consumo Empresa Departamento y Municipio,62309292.88,349772791.12,65240119.12,ND,ND,ND,477322203.12,23385089.76,230299446.95,38834939.42,2557270.73,295076746.86
