Departamento,Municipio,Empresa,Variable Calculada,Estrato 1,Estrato 2,Estrato 3,Estrato 4,Estrato 5,Estrato 6,Total Residencial,Industrial,Comercial,Oficial,Otros,Total No Residencial
ANTIOQUIA,ABEJORRAL,EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,Valor Consumo Empresa Departamento y Municipio,514757002.85,688306690.21,68013511.31,17646042.53,2071867.18,ND,1290795114.08,81331133.13,53712361.29,31178212.22,1910956.36,168132663
ANTIOQUIA,ABEJORRAL,ENERTOTAL S.A. E.S.P.,Valor Consumo Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
ANTIOQUIA,ABRIAQUI,EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,Valor Consumo Empresa Departamento y Municipio,35459162.04,67447631.83,12678129.86,ND,ND,664694.33,116249618.06,21973875.25,40308618.06,3090711.83,25871481.03,91244686.17
ANTIOQUIA,ALEJANDRIA,EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,Valor Consumo Empresa Departamento y Municipio,73516505.82,96511574.39,32311748.8,3042981.32,ND,187539.21,205570349.54,5287520.89,799466.98,9668477.43,31771393.65,47526858.95
ANTIOQUIA,AMAGA,ELECTRIFICADORA DEL HUILA S.A. E.S.P.,Valor Consumo Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,243336719,ND,ND,ND,243336719
ANTIOQUIA,AMAGA,EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,Valor Consumo Empresa Departamento y Municipio,1296786982.21,768826463.7,239051852.12,140505296.77,141136723.03,63747110.91,2650054428.74,6980603210.89,293461796.67,42795337.28,114984844.67,7431845189.51
ANTIOQUIA,AMAGA,VATIA S.A. E.S.P.,Valor Consumo Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,157769451,ND,ND,ND,157769451
ANTIOQUIA,AMALFI,EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,Valor Consumo Empresa Departamento y Municipio,443198623.65,300524796.32,99294514.6,5751930.76,15198080.05,11985559.61,875953504.99,240622975.34,13118508.99,38231299.74,131893792.68,423866576.75
ANTIOQUIA,ANDES,EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,Valor Consumo Empresa Departamento y Municipio,317228312.82,2044799537.82,344658367.87,45302103.54,3611430.3,ND,2755599752.35,436716384.6,245943564.11,153937562.46,210754669.1,1047352180.27
ANTIOQUIA,ANDES,ENERTOTAL S.A. E.S.P.,Valor Consumo Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,87059929,87059929
ANTIOQUIA,ANGELOPOLIS,EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,Valor Consumo Empresa Departamento y Municipio,293793520.33,242972872.95,28583490.65,4990958.15,204906.92,ND,570545749,1023497669.33,57252404.62,10136421.55,49837966.11,1140724461.61
ANTIOQUIA,ANGOSTURA,EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,Valor Consumo Empresa Departamento y Municipio,653822013.26,473557366.77,56966322.91,5162171.5,ND,ND,1189507874.44,107195635.08,66559619.94,30008612.24,1834480.81,205598348.07
ANTIOQUIA,ANORI,EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,Valor Consumo Empresa Departamento y Municipio,306639166.95,181860857.37,18629380.81,2672736.31,0,ND,509802141.44,198647190.41,59134991.19,29739392.1,43521404.01,331042977.71
ANTIOQUIA,ANZA,EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,Valor Consumo Empresa Departamento y Municipio,248327108.38,256594508.34,30733678.77,4323419.61,1734330.93,56785.29,541769831.32,18012233.55,4816259.65,11077539.62,30325712.96,64231745.78
ANTIOQUIA,APARTADO,DISTRIBUIDORA Y COMERCIALIZADORA DE ENERGIA ELECTRICA S.A. E.S.P.,Valor Consumo Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
ANTIOQUIA,APARTADO,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,Valor Consumo Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
ANTIOQUIA,APARTADO,EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,Valor Consumo Empresa Departamento y Municipio,1272187827.87,350371489.39,115828952.85,50082947.26,4377586.79,ND,1792848804.16,2350938073.2,1287538680.55,343800868.88,1057176874.13,5039454496.76
ANTIOQUIA,APARTADO,ENERTOTAL S.A. E.S.P.,Valor Consumo Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,386707417,ND,ND,ND,386707417
ANTIOQUIA,APARTADO,PROFESIONALES EN ENERGÍA S.A E.S.P,Valor Consumo Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
ANTIOQUIA,APARTADO,VATIA S.A. E.S.P.,Valor Consumo Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
ANTIOQUIA,ARBOLETES,EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,Valor Consumo Empresa Departamento y Municipio,1403516531.72,146437541.88,31900783.26,24610727.36,6305763.37,2249218.48,1615020566.07,13736901.55,38231722.03,39404529.63,369054106.63,460427259.84
ANTIOQUIA,ARBOLETES,ENERTOTAL S.A. E.S.P.,Valor Consumo Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
ANTIOQUIA,ARGELIA,EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,Valor Consumo Empresa Departamento y Municipio,107044288.17,140598357.93,7752836.82,ND,ND,ND,255395482.92,922333.4,540506.53,22093485.57,34187122.24,57743447.74
ANTIOQUIA,ARMENIA,EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,Valor Consumo Empresa Departamento y Municipio,37160934,307764152.39,43992319.89,23575390.88,2224407.34,1005251.54,415722456.04,29583796.94,12488096.95,4344736.35,47998370.1,94415000.34
ANTIOQUIA,BARBOSA,EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,Valor Consumo Empresa Departamento y Municipio,762250832.36,3369951574.48,654247656.95,403380810.02,223971161.45,214934536.64,5628736571.9,5319974708.65,1054804838.77,652860980.95,811659863.11,7839300391.48
ANTIOQUIA,BARBOSA,ISAGEN S.A. E.S.P.,Valor Consumo Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
ANTIOQUIA,BELLO,DISTRIBUIDORA Y COMERCIALIZADORA DE ENERGIA ELECTRICA S.A. E.S.P.,Valor Consumo Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
ANTIOQUIA,BELLO,EMGESA S.A. E.S.P.,Valor Consumo Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
ANTIOQUIA,BELLO,EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,Valor Consumo Empresa Departamento y Municipio,2099957312.17,1599582694.47,383417225.02,219624706.01,59723638.26,19057618.23,4381363194.16,1103013609.09,1144402547.38,453322442.36,35819513.47,2736558112.3
ANTIOQUIA,BELLO,ENERTOTAL S.A. E.S.P.,Valor Consumo Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
ANTIOQUIA,BELLO,ISAGEN S.A. E.S.P.,Valor Consumo Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
ANTIOQUIA,BELLO,PROFESIONALES EN ENERGÍA S.A E.S.P,Valor Consumo Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
ANTIOQUIA,BELLO,TERPEL ENERGIA S.A.S E.S.P,Valor Consumo Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
ANTIOQUIA,BELLO,VATIA S.A. E.S.P.,Valor Consumo Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
ANTIOQUIA,BELMIRA,EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,Valor Consumo Empresa Departamento y Municipio,86311997.89,553134381.46,291364138.23,64025128.7,1452735.95,280024.26,996568406.49,396126629.69,218762286.07,11840878.05,33563123.11,660292916.92
ANTIOQUIA,BETANIA,EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,Valor Consumo Empresa Departamento y Municipio,68573381.1,485878918.32,152742128.19,9252125.73,ND,1146867.24,717593420.58,137585007.16,25388548.32,7507249.85,39903902.48,210384707.81
ANTIOQUIA,BETULIA,EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,Valor Consumo Empresa Departamento y Municipio,828200657.11,288104568.6,106043700.09,78812911.2,449873.97,11943762.53,1313555473.5,117842436.96,22076441.52,28061538.62,46356807.75,214337224.85
ANTIOQUIA,BETULIA,ENERTOTAL S.A. E.S.P.,Valor Consumo Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
ANTIOQUIA,BRICENO,EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,Valor Consumo Empresa Departamento y Municipio,200741868.44,146429045.64,19348302.62,3568754.43,1547224.93,ND,371635196.06,29668103.27,26360004.45,17824501.55,38623078.51,112475687.78
ANTIOQUIA,BURITICA,EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,Valor Consumo Empresa Departamento y Municipio,238405694.43,236128530.38,14309746.57,77107.31,ND,ND,488921078.69,1041073580.2,35487690.09,28281308.5,29739887.4,1134582466.19
ANTIOQUIA,CACERES,EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,Valor Consumo Empresa Departamento y Municipio,550427346.27,125332333.39,107137561.41,18760780.89,8382826.11,609452.66,810650300.73,9603137.24,23212902.64,450643036.08,532815.34,483991891.3
ANTIOQUIA,CAICEDO,EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,Valor Consumo Empresa Departamento y Municipio,283217439.15,211141001.39,11649384.54,ND,ND,ND,506007825.08,ND,1707984.57,11569104.65,15824902.94,29101992.16
ANTIOQUIA,CALDAS,EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,Valor Consumo Empresa Departamento y Municipio,909094558.81,1800753165.2,284540490.09,162301313.32,34147253.67,8853226.41,3199690007.5,1633690341.07,433398493.39,209359027.45,6364002.49,2282811864.4
ANTIOQUIA,CALDAS,ENERTOTAL S.A. E.S.P.,Valor Consumo Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,ND,12853058,13170233,60398052,86421343
ANTIOQUIA,CALDAS,ISAGEN S.A. E.S.P.,Valor Consumo Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
ANTIOQUIA,CALDAS,PROFESIONALES EN ENERGÍA S.A E.S.P,Valor Consumo Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
ANTIOQUIA,CALDAS,VATIA S.A. E.S.P.,Valor Consumo Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
ANTIOQUIA,CAMPAMENTO,EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,Valor Consumo Empresa Departamento y Municipio,135376491.14,481457956.31,740559.07,3371817.54,ND,ND,620946824.06,197669723.19,47497997.96,28940076.54,760184.73,274867982.42
ANTIOQUIA,CANASGORDAS,EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,Valor Consumo Empresa Departamento y Municipio,436344504.09,558914978.42,17558527.06,387853.88,ND,ND,1013205863.45,15239518.24,98538901.09,38800825.27,57936648.03,210515892.63
ANTIOQUIA,CARACOLI,EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,Valor Consumo Empresa Departamento y Municipio,105778057.21,123352041.79,15890172.67,406386.67,1012288.16,ND,246438946.5,39220226.16,4530036.16,11308935.11,30148697.58,85207895.01
ANTIOQUIA,CARACOLI,ENERTOTAL S.A. E.S.P.,Valor Consumo Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
ANTIOQUIA,CARAMANTA,EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,Valor Consumo Empresa Departamento y Municipio,51311433.73,202088295.53,19626737.65,1666146.61,951439.27,3990337.21,279634390,3406833.72,28547852.35,5712836.84,42716398.45,80383921.36
ANTIOQUIA,CAREPA,EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,Valor Consumo Empresa Departamento y Municipio,1270598750.85,524705492.54,144377979.94,19621426.87,ND,0,1959303650.2,3172435810.51,699286452.57,1370349985.38,348030204.64,5590102453.1
ANTIOQUIA,CAREPA,VATIA S.A. E.S.P.,Valor Consumo Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
ANTIOQUIA,CAROLINA,EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,Valor Consumo Empresa Departamento y Municipio,43724187.47,77033129.1,46727284.89,35840492.29,8558874.74,6583411.37,218467379.86,31428371.84,50033012.12,13119839.59,ND,94581223.55
ANTIOQUIA,CAUCASIA,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,Valor Consumo Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
ANTIOQUIA,CAUCASIA,EMGESA S.A. E.S.P.,Valor Consumo Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,458419049,ND,ND,ND,458419049
ANTIOQUIA,CAUCASIA,EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,Valor Consumo Empresa Departamento y Municipio,2070438511.62,333175364.46,223029029.26,236593842.77,12277853.62,ND,2875514601.73,343118267.61,527254862.36,196580965.17,946320007.9,2013274103.04
ANTIOQUIA,CAUCASIA,ENERGIA EMPRESARIAL DE LA COSTA S.A. E.S.P.,Valor Consumo Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
ANTIOQUIA,CAUCASIA,ENERTOTAL S.A. E.S.P.,Valor Consumo Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
ANTIOQUIA,CAUCASIA,VATIA S.A. E.S.P.,Valor Consumo Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
ANTIOQUIA,CHIGORODO,EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,Valor Consumo Empresa Departamento y Municipio,853625479.31,347711868.34,92079256.47,50626726.2,2052135.33,17960340.37,1364055806.02,771790048.03,450819245.32,131334735.3,429793350.55,1783737379.2
ANTIOQUIA,CHIGORODO,ENERTOTAL S.A. E.S.P.,Valor Consumo Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
ANTIOQUIA,CISNEROS,EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,Valor Consumo Empresa Departamento y Municipio,53816203.21,149874738.35,49717972.03,14766603.08,7659376.74,ND,275834893.41,69958558.95,13800675.72,12769018.44,94215141.13,190743394.24
ANTIOQUIA,CIUDAD BOLIVAR,EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,Valor Consumo Empresa Departamento y Municipio,277374403.83,812400660.76,379370244.36,74533308.48,17621138.55,3426657.92,1564726413.9,468561174.13,211265433.08,44758653.15,2693230.57,727278490.93
ANTIOQUIA,COCORNA,EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,Valor Consumo Empresa Departamento y Municipio,293364468.49,892747693.83,111350366.96,3723155.41,ND,ND,1301185684.69,68191513.91,245451679.62,27384646.89,64564183.19,405592023.61
ANTIOQUIA,COCORNA,VATIA S.A. E.S.P.,Valor Consumo Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
ANTIOQUIA,CONCEPCION,EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,Valor Consumo Empresa Departamento y Municipio,78481829.39,182773150.87,58081826.58,2767643.93,1381176.14,0,323485626.91,22342651.91,30769209.29,8698129.4,40634801.85,102444792.45
ANTIOQUIA,CONCORDIA,EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,Valor Consumo Empresa Departamento y Municipio,183125852,917130645.33,234470437.63,36772642.27,16401296.6,5580397.72,1393481271.55,345915857.36,52515988.52,36688357.42,82650035.76,517770239.06
ANTIOQUIA,COPACABANA,EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,Valor Consumo Empresa Departamento y Municipio,336426075.6,2518161046.67,648720828.23,504589498.86,279284368.53,232214206.53,4519396024.42,3302501709.42,823272548.45,122080073.88,1531187962.81,5779042294.56
ANTIOQUIA,COPACABANA,ENERCO S.A. E.S.P.,Valor Consumo Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
ANTIOQUIA,DABEIBA,EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,Valor Consumo Empresa Departamento y Municipio,470330797.33,188353552.46,9666338.55,267379.97,ND,ND,668618068.31,36393748.13,46040086.84,30423728.33,77370513.87,190228077.17
ANTIOQUIA,DONMATIAS,EMGESA S.A. E.S.P.,Valor Consumo Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,130733,ND,ND,ND,130733
ANTIOQUIA,DONMATIAS,EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,Valor Consumo Empresa Departamento y Municipio,183293378.59,1463722434.97,679275758.39,177170598.4,43237742.9,4970719.82,2551670633.07,991882057.09,855128706.46,438850456.17,3719800.2,2289581019.92
ANTIOQUIA,DONMATIAS,PROFESIONALES EN ENERGÍA S.A E.S.P,Valor Consumo Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
ANTIOQUIA,EBEJICO,EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,Valor Consumo Empresa Departamento y Municipio,787447033.49,201592786.4,66186761.03,7952376.1,1164111.08,12371834.93,1076714903.03,378153233.02,148235421.06,15866814.83,54475513.93,596730982.84
ANTIOQUIA,EL BAGRE,EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,Valor Consumo Empresa Departamento y Municipio,921563798.98,9157924.59,ND,185150,ND,ND,930906873.57,ND,9911932.82,26411656.48,393370218.08,429693807.38
ANTIOQUIA,EL BAGRE,VATIA S.A. E.S.P.,Valor Consumo Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
ANTIOQUIA,EL CARMEN DE VIBORAL,EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,Valor Consumo Empresa Departamento y Municipio,279349111.56,2290313282,973954849.22,197057416.23,106590219.61,38563716.97,3885828595.59,2544588376.17,292529487.41,75664515.19,457085428.86,3369867807.63
ANTIOQUIA,EL CARMEN DE VIBORAL,ENERTOTAL S.A. E.S.P.,Valor Consumo Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
ANTIOQUIA,EL SANTUARIO,EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,Valor Consumo Empresa Departamento y Municipio,108596787.78,816253102.54,557727934.36,68046904.14,15855639.6,758132.77,1567238501.19,289811045.79,287210872.37,47386489.48,186841230.88,811249638.52
ANTIOQUIA,EL SANTUARIO,VATIA S.A. E.S.P.,Valor Consumo Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
ANTIOQUIA,ENTRERRIOS,EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,Valor Consumo Empresa Departamento y Municipio,159154249.66,489948034.51,683038414.41,384759779.62,224652437.38,284584106.34,2226137021.92,3760946677.27,822441359.66,14473617.19,ND,4597861654.12
ANTIOQUIA,ENVIGADO,DISTRIBUIDORA Y COMERCIALIZADORA DE ENERGIA ELECTRICA S.A. E.S.P.,Valor Consumo Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
ANTIOQUIA,ENVIGADO,EMGESA S.A. E.S.P.,Valor Consumo Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
ANTIOQUIA,ENVIGADO,EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,Valor Consumo Empresa Departamento y Municipio,78117475.1,881563590.36,332778299.68,825800403.91,899481854.88,613730615.35,3631472239.28,959739090.41,1607150253.35,178111842.23,319399182.07,3064400368.06
ANTIOQUIA,ENVIGADO,ENERCO S.A. E.S.P.,Valor Consumo Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
ANTIOQUIA,ENVIGADO,ENERTOTAL S.A. E.S.P.,Valor Consumo Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
ANTIOQUIA,ENVIGADO,ISAGEN S.A. E.S.P.,Valor Consumo Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
